full_text,bigrams
['fulltext'],[]
"['yes', 'betul', 'latih', 'timnas', 'tangan', 'timnas', 'indonesia', 'dasar', 'cukup', 'sukses', 'asal', 'intervensi', 'sty', 'jadi', 'latih', 'klub', 'mungkin', 'cocok', 'balik', 'jadi', 'patrick', 'kalau', 'latih', 'klub', 'sukses']","['yes betul', 'betul latih', 'latih timnas', 'timnas tangan', 'tangan timnas', 'timnas indonesia', 'indonesia dasar', 'dasar cukup', 'cukup sukses', 'sukses asal', 'asal intervensi', 'intervensi sty', 'sty jadi', 'jadi latih', 'latih klub', 'klub mungkin', 'mungkin cocok', 'cocok balik', 'balik jadi', 'jadi patrick', 'patrick kalau', 'kalau latih', 'latih klub', 'klub sukses']"
"['saya', 'lupa', 'kalo', 'tijjani', 'main', 'belanda', 'saking', 'banyak', 'main', 'turun', 'timnas', 'mana', 'muka', 'indonesia', 'banget']","['saya lupa', 'lupa kalo', 'kalo tijjani', 'tijjani main', 'main belanda', 'belanda saking', 'saking banyak', 'banyak main', 'main turun', 'turun timnas', 'timnas mana', 'mana muka', 'muka indonesia', 'indonesia banget']"
"['kluivert', 'harap', 'calvin', 'verdonk', 'main', 'lawan', 'irak']","['kluivert harap', 'harap calvin', 'calvin verdonk', 'verdonk main', 'main lawan', 'lawan irak']"
"['sudah', 'tau', 'kalau', 'timnas', 'indonesia', 'susah', 'juara', 'grup', 'bro', 'makan', 'nya', 'nazar', 'gin', 'tidak', 'mungkin', 'kedengerannya', 'kejam', 'realistis']","['sudah tau', 'tau kalau', 'kalau timnas', 'timnas indonesia', 'indonesia susah', 'susah juara', 'juara grup', 'grup bro', 'bro makan', 'makan nya', 'nya nazar', 'nazar gin', 'gin tidak', 'tidak mungkin', 'mungkin kedengerannya', 'kedengerannya kejam', 'kejam realistis']"
"['latih', 'timnas', 'indonesia', 'kluivert', 'aku', 'kecewa', 'tim', 'tel', 'kalah', 'tanding', 'putar', 'empat', 'kualifikasi', 'piala', 'dunia', 'zona', 'asia', 'lawan', 'arab', 'saudi', 'antaranews', 'tgim', 'kbfm', 'radiokalimaya', 'radiosebayamudamalangraya', 'radioanakmuda', 'radiodewasamuda']","['latih timnas', 'timnas indonesia', 'indonesia kluivert', 'kluivert aku', 'aku kecewa', 'kecewa tim', 'tim tel', 'tel kalah', 'kalah tanding', 'tanding putar', 'putar empat', 'empat kualifikasi', 'kualifikasi piala', 'piala dunia', 'dunia zona', 'zona asia', 'asia lawan', 'lawan arab', 'arab saudi', 'saudi antaranews', 'antaranews tgim', 'tgim kbfm', 'kbfm radiokalimaya', 'radiokalimaya radiosebayamudamalangraya', 'radiosebayamudamalangraya radioanakmuda', 'radioanakmuda radiodewasamuda']"
"['saya', 'tidak', 'peduli', 'siapa', 'main', 'penting', 'timnas', 'indonesia', 'menang', 'lolos', 'piala', 'dunia', 'aamiin']","['saya tidak', 'tidak peduli', 'peduli siapa', 'siapa main', 'main penting', 'penting timnas', 'timnas indonesia', 'indonesia menang', 'menang lolos', 'lolos piala', 'piala dunia', 'dunia aamiin']"
"['tren', 'positif', 'timnas', 'indonesia', 'sea', 'games']","['tren positif', 'positif timnas', 'timnas indonesia', 'indonesia sea', 'sea games']"
"['siar', 'langsung', 'timnas', 'indonesia', 'india', 'malam']","['siar langsung', 'langsung timnas', 'timnas indonesia', 'indonesia india', 'india malam']"
"['jakarta', 'jeddah', 'optimisme', 'putar', 'kans', 'timnas', 'indonesia', 'kalahin', 'arab', 'saudi']","['jakarta jeddah', 'jeddah optimisme', 'optimisme putar', 'putar kans', 'kans timnas', 'timnas indonesia', 'indonesia kalahin', 'kalahin arab', 'arab saudi']"
