"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1976117884406595783","Thu Oct 09 23:58:06 +0000 2025","0","@KangManto123 Yes betul Sebagai pelatih timnas menangani timnas indonesia dari hal hal dasar cukup sukses Asal Tidak ada intervensi sty mh .. Jadi pelatih klub mungkin tidak cocok begitu sebaliknya bisa jadi patrick klo latih klub bisa sukses juga","1976437044114317382","","KangManto123","in","","0","0","0","https://x.com/undefined/status/1976437044114317382","1233694501299900418",
"1976402187753488563","Thu Oct 09 23:50:11 +0000 2025","17","@idextratime Gw lupa kalo tijjani pemain belanda ‍️ saking banyaknya pemain keturunan di timnas mana dia mukanya indonesia bgt","1976435054034419715","","idextratime","in","","0","2","0","https://x.com/undefined/status/1976435054034419715","1928786262313545728",
"1976432488500355336","Thu Oct 09 23:40:00 +0000 2025","0","Kluivert berharap Calvin Verdonk main lawan Irak https://t.co/LBhkCaBtbw","1976432488500355336","","","in","","0","0","0","https://x.com/undefined/status/1976432488500355336","121640063",
"1976328360788893870","Thu Oct 09 23:36:29 +0000 2025","17","@idextratime Si @lifequid1 ini udh tau klo Timnas Indonesia Susah buat Juara Grup bro makan nya dia nazar gini karena gak mungkin kedengerannya kejam tapi realistis ","1976431603170803970","","idextratime","in","","0","0","0","https://x.com/undefined/status/1976431603170803970","1611595631306629120",
"1976431293530505368","Thu Oct 09 23:35:15 +0000 2025","0","Pelatih timnas Indonesia Kluivert mengaku kecewa setelah timnya menelan kekalahan 2-3 dalam pertandingan putaran keempat Kualifikasi Piala Dunia 2026 zona Asia melawan Arab Saudi (ANTARANEWS) #TGIM #KBFM #RadioKalimaya #RadioSebayaMudaMalangRaya #RadioAnakMuda #RadioDewasaMuda https://t.co/XlUM2dQeos","1976431293530505368","https://pbs.twimg.com/media/G22xx81b0AAveJc.png","","in","","0","0","0","https://x.com/undefined/status/1976431293530505368","1914885191933550593",
"1976412000856179104","Thu Oct 09 23:35:07 +0000 2025","1","@youthmvmnt_ Gua gak peduli siapa yang main. Yang penting timnas Indonesia menang dan lolos ke piala dunia. Aamiin","1976431259246326060","","youthmvmnt_","in","","0","1","0","https://x.com/undefined/status/1976431259246326060","1181173813880348673",
"1976431098289848396","Thu Oct 09 23:34:28 +0000 2025","0","Tren Positif Timnas Indonesia U-22 di SEA Games https://t.co/amm6d5rAcs","1976431098289848396","","","in","","0","0","0","https://x.com/undefined/status/1976431098289848396","1426591205089898503",
"1976430427138359772","Thu Oct 09 23:31:48 +0000 2025","0","Siaran Langsung Timnas Indonesia U-22 Vs India U-22 Malam Ini https://t.co/JgMbnhubEL","1976430427138359772","","","in","","0","0","0","https://x.com/undefined/status/1976430427138359772","1426591205089898503",
"1976429972647707063","Thu Oct 09 23:30:00 +0000 2025","1","Dari Jakarta ke Jeddah: Optimisme Seputar Kans Timnas Indonesia buat Kembali Kalahin Arab Saudi https://t.co/f7q87OOdSz https://t.co/bMGdpyBrJ8","1976429972647707063","https://pbs.twimg.com/media/G2urPDNaoAIINcp.jpg","","in","","0","0","0","https://x.com/undefined/status/1976429972647707063","1747464702492626944",
"1976429609135853888","Thu Oct 09 23:28:33 +0000 2025","1","Timnas Indonesia Tumbang Dari Arab Saudi Paes Kecewa: Hasilnya Tidak Sesuai Harapan https://t.co/EjLvufz9aw","1976429609135853888","","","in","","0","0","0","https://x.com/undefined/status/1976429609135853888","85537477",
"1976428324617703830","Thu Oct 09 23:23:27 +0000 2025","1","Usai Kekalahan Timnas Indonesia Shin Tae-yong Juga Dipecat Ulsan HD https://t.co/G228O0k6mc","1976428324617703830","","","in","","0","0","0","https://x.com/undefined/status/1976428324617703830","1769017497125339136",
"1976200123115028788","Thu Oct 09 23:21:23 +0000 2025","0","@acilhae7 @iswarafadly @unmagnetism silahkan pahami arti prestasi lalu korelasikan dengan pencapain coach shin dengan timnas indonesia ","1976427802741411928","","acilhae7","in","","0","0","0","https://x.com/undefined/status/1976427802741411928","1472877259656556546",
"1975998332519755902","Thu Oct 09 23:19:47 +0000 2025","0","@Wadezig7000 @utdfocusid Ratu thisa boleh lah dia juga Punya pengalaman ttng sepal bola tapi yg lu juga tau ini Indonesia bro lu baru datang dengan 1 perubahan lu pasti akan di sorot Dari banyak lini etah itu Dari masyrakat pengamat politik Dan pemerintah dan bahkan Dari internal PSSI sndri","1976427400943767913","","Wadezig7000","in","","0","0","0","https://x.com/undefined/status/1976427400943767913","1816739820833755136",
"1976426197530574903","Thu Oct 09 23:15:00 +0000 2025","1","Jens Raven Usung Misi Khusus di SEA Games 2025: Bantu Timnas Indonesia Pertahankan Emas https://t.co/tZH7HuFI0F","1976426197530574903","","","in","","0","0","0","https://x.com/undefined/status/1976426197530574903","132078023",
"1976230356362698761","Thu Oct 09 23:13:28 +0000 2025","1","@AbiLowo29644407 @padiwig @utdfocusid Bayangin sty merangkap jabatan utk u23 juga ini indonesia lho bukan tim kuat asia macem jepang korsel aussie dll. Klo lo ngikutin timnas dari zamannya piala tiger pasti sedih liat sosok pelatih yg udah berbuat bnyk naikin derajat timnas dbuang gitu aja sblm tugasnya rampung","1976425812363706791","","AbiLowo29644407","in","","0","2","0","https://x.com/undefined/status/1976425812363706791","62292952",
"1976423774322033023","Thu Oct 09 23:05:22 +0000 2025","1","Jadwal Siaran Langsung Timnas Indonesia U-23 Vs India Malam Ini https://t.co/wYiCVwLxLQ","1976423774322033023","","","in","","0","0","0","https://x.com/undefined/status/1976423774322033023","132078023",
"1976402187753488563","Thu Oct 09 22:57:16 +0000 2025","2","@idextratime Timnas Indonesia dan Timnas Pusat sama-sama dua pinalti Bedanya mereka sudah pasti lolos piala dunia sedangkan indonesia harus berjuang sampai darah penghabisan ","1976421736087421392","","idextratime","in","","0","1","0","https://x.com/undefined/status/1976421736087421392","2884329733",
"1976421224017428698","Thu Oct 09 22:55:14 +0000 2025","0","Pdhal sebelumnya Patrick mengatakan bahwa pertandingan ini ibarat final ... Dari awal sy juga sdh intip2 koq timnya beda ... Respons utk mengganti pemain juga terlalu lama ... https://t.co/jPLTvrvpvB","1976421224017428698","","","in","","0","0","0","https://x.com/undefined/status/1976421224017428698","1611257704357703681",
"1976420922090467479","Thu Oct 09 22:54:02 +0000 2025","0","Update Ranking FIFA Timnas Indonesia Hari Ini: Resmi Disalip Malaysia hingga Ditinggal Thailand Patrick Kluivert Merana! https://t.co/fbYfv7Z1BS","1976420922090467479","","","in","","0","0","0","https://x.com/undefined/status/1976420922090467479","47274731",
"1976420182223618413","Thu Oct 09 22:51:06 +0000 2025","0","tag wts tiket nonton bareng timnas indonesia irak cgv grand indonesia sabtu minggu cod jakarta jkt","1976420184710848802","","moooonbulan","in","","0","0","0","https://x.com/undefined/status/1976420184710848802","1428797375624089603",
