full_text,bigrams,trigrams
['fulltext'],[],[]
"['yes', 'betul', 'latih', 'timnas', 'tangan', 'timnas', 'indonesia', 'dasar', 'cukup', 'sukses', 'asal', 'intervensi', 'sty', 'jadi', 'latih', 'klub', 'mungkin', 'cocok', 'balik', 'jadi', 'patrick', 'kalau', 'latih', 'klub', 'sukses']","['yes betul', 'betul latih', 'latih timnas', 'timnas tangan', 'tangan timnas', 'timnas indonesia', 'indonesia dasar', 'dasar cukup', 'cukup sukses', 'sukses asal', 'asal intervensi', 'intervensi sty', 'sty jadi', 'jadi latih', 'latih klub', 'klub mungkin', 'mungkin cocok', 'cocok balik', 'balik jadi', 'jadi patrick', 'patrick kalau', 'kalau latih', 'latih klub', 'klub sukses']","['yes betul latih', 'betul latih timnas', 'latih timnas tangan', 'timnas tangan timnas', 'tangan timnas indonesia', 'timnas indonesia dasar', 'indonesia dasar cukup', 'dasar cukup sukses', 'cukup sukses asal', 'sukses asal intervensi', 'asal intervensi sty', 'intervensi sty jadi', 'sty jadi latih', 'jadi latih klub', 'latih klub mungkin', 'klub mungkin cocok', 'mungkin cocok balik', 'cocok balik jadi', 'balik jadi patrick', 'jadi patrick kalau', 'patrick kalau latih', 'kalau latih klub', 'latih klub sukses']"
"['saya', 'lupa', 'kalo', 'tijjani', 'main', 'belanda', 'saking', 'banyak', 'main', 'turun', 'timnas', 'mana', 'muka', 'indonesia', 'banget']","['saya lupa', 'lupa kalo', 'kalo tijjani', 'tijjani main', 'main belanda', 'belanda saking', 'saking banyak', 'banyak main', 'main turun', 'turun timnas', 'timnas mana', 'mana muka', 'muka indonesia', 'indonesia banget']","['saya lupa kalo', 'lupa kalo tijjani', 'kalo tijjani main', 'tijjani main belanda', 'main belanda saking', 'belanda saking banyak', 'saking banyak main', 'banyak main turun', 'main turun timnas', 'turun timnas mana', 'timnas mana muka', 'mana muka indonesia', 'muka indonesia banget']"
"['kluivert', 'harap', 'calvin', 'verdonk', 'main', 'lawan', 'irak']","['kluivert harap', 'harap calvin', 'calvin verdonk', 'verdonk main', 'main lawan', 'lawan irak']","['kluivert harap calvin', 'harap calvin verdonk', 'calvin verdonk main', 'verdonk main lawan', 'main lawan irak']"
"['sudah', 'tau', 'kalau', 'timnas', 'indonesia', 'susah', 'juara', 'grup', 'bro', 'makan', 'nya', 'nazar', 'gin', 'tidak', 'mungkin', 'kedengerannya', 'kejam', 'realistis']","['sudah tau', 'tau kalau', 'kalau timnas', 'timnas indonesia', 'indonesia susah', 'susah juara', 'juara grup', 'grup bro', 'bro makan', 'makan nya', 'nya nazar', 'nazar gin', 'gin tidak', 'tidak mungkin', 'mungkin kedengerannya', 'kedengerannya kejam', 'kejam realistis']","['sudah tau kalau', 'tau kalau timnas', 'kalau timnas indonesia', 'timnas indonesia susah', 'indonesia susah juara', 'susah juara grup', 'juara grup bro', 'grup bro makan', 'bro makan nya', 'makan nya nazar', 'nya nazar gin', 'nazar gin tidak', 'gin tidak mungkin', 'tidak mungkin kedengerannya', 'mungkin kedengerannya kejam', 'kedengerannya kejam realistis']"
"['latih', 'timnas', 'indonesia', 'kluivert', 'aku', 'kecewa', 'tim', 'tel', 'kalah', 'tanding', 'putar', 'empat', 'kualifikasi', 'piala', 'dunia', 'zona', 'asia', 'lawan', 'arab', 'saudi', 'antaranews', 'tgim', 'kbfm', 'radiokalimaya', 'radiosebayamudamalangraya', 'radioanakmuda', 'radiodewasamuda']","['latih timnas', 'timnas indonesia', 'indonesia kluivert', 'kluivert aku', 'aku kecewa', 'kecewa tim', 'tim tel', 'tel kalah', 'kalah tanding', 'tanding putar', 'putar empat', 'empat kualifikasi', 'kualifikasi piala', 'piala dunia', 'dunia zona', 'zona asia', 'asia lawan', 'lawan arab', 'arab saudi', 'saudi antaranews', 'antaranews tgim', 'tgim kbfm', 'kbfm radiokalimaya', 'radiokalimaya radiosebayamudamalangraya', 'radiosebayamudamalangraya radioanakmuda', 'radioanakmuda radiodewasamuda']","['latih timnas indonesia', 'timnas indonesia kluivert', 'indonesia kluivert aku', 'kluivert aku kecewa', 'aku kecewa tim', 'kecewa tim tel', 'tim tel kalah', 'tel kalah tanding', 'kalah tanding putar', 'tanding putar empat', 'putar empat kualifikasi', 'empat kualifikasi piala', 'kualifikasi piala dunia', 'piala dunia zona', 'dunia zona asia', 'zona asia lawan', 'asia lawan arab', 'lawan arab saudi', 'arab saudi antaranews', 'saudi antaranews tgim', 'antaranews tgim kbfm', 'tgim kbfm radiokalimaya', 'kbfm radiokalimaya radiosebayamudamalangraya', 'radiokalimaya radiosebayamudamalangraya radioanakmuda', 'radiosebayamudamalangraya radioanakmuda radiodewasamuda']"
"['saya', 'tidak', 'peduli', 'siapa', 'main', 'penting', 'timnas', 'indonesia', 'menang', 'lolos', 'piala', 'dunia', 'aamiin']","['saya tidak', 'tidak peduli', 'peduli siapa', 'siapa main', 'main penting', 'penting timnas', 'timnas indonesia', 'indonesia menang', 'menang lolos', 'lolos piala', 'piala dunia', 'dunia aamiin']","['saya tidak peduli', 'tidak peduli siapa', 'peduli siapa main', 'siapa main penting', 'main penting timnas', 'penting timnas indonesia', 'timnas indonesia menang', 'indonesia menang lolos', 'menang lolos piala', 'lolos piala dunia', 'piala dunia aamiin']"
"['tren', 'positif', 'timnas', 'indonesia', 'sea', 'games']","['tren positif', 'positif timnas', 'timnas indonesia', 'indonesia sea', 'sea games']","['tren positif timnas', 'positif timnas indonesia', 'timnas indonesia sea', 'indonesia sea games']"
"['siar', 'langsung', 'timnas', 'indonesia', 'india', 'malam']","['siar langsung', 'langsung timnas', 'timnas indonesia', 'indonesia india', 'india malam']","['siar langsung timnas', 'langsung timnas indonesia', 'timnas indonesia india', 'indonesia india malam']"
"['jakarta', 'jeddah', 'optimisme', 'putar', 'kans', 'timnas', 'indonesia', 'kalahin', 'arab', 'saudi']","['jakarta jeddah', 'jeddah optimisme', 'optimisme putar', 'putar kans', 'kans timnas', 'timnas indonesia', 'indonesia kalahin', 'kalahin arab', 'arab saudi']","['jakarta jeddah optimisme', 'jeddah optimisme putar', 'optimisme putar kans', 'putar kans timnas', 'kans timnas indonesia', 'timnas indonesia kalahin', 'indonesia kalahin arab', 'kalahin arab saudi']"
