clean_text,sentimen
yes betul sebagai pelatih timnas menangani timnas indonesia dari hal hal dasar cukup sukses asal tidak ada intervensi sty mh jadi pelatih klub mungkin tidak cocok begitu sebaliknya bisa jadi patrick klo latih klub bisa sukses juga,positif
gua gak peduli siapa yang main yang penting timnas indonesia menang dan lolos ke piala dunia aamiin,positif
peluang timnas indonesia ke piala dunia masih ada netizen menang lawan irak harga mati,positif
berharap menang dari jepang dianggap gak masuk akal berharap menang dari arab saudi gimana tuh menormalisasi kekalahan tapi ngarep masuk piala dunia itu kah isi kepala si paling pemikir,positif
iya iya gak boleh ngarep menang dari jepang gak bisa juga ngarep menang dari arab saudi kah kalo kekalahan dinormalisasi terus ngapain mimpi indo masuk di piala dunia,positif
skema timnas langsung lolos pildun indonesia iraq atau bisa lebih golnya lebih bagus iraq arab saudi grup indonesia poin gd arab saudi poin gd iraq poin gd dah gamau tau patrick harus menang lawan iraq gol atau lebih,positif
kalah bukan akhir justru awal untuk evaluasi dan jadi lebih baik tetap dukung penuh timnas indonesia,positif
emang kalau timnas oplosan menang berpengaruh pada kesejahteraan dan peningkatan kualitas hidup seluruh rakyat indonesia,positif
patrick kluivert timnas indonesia harus bangkit dan menang lawan irak,positif
sudah jelas alasannya kenapa dia ga pernah kepilih oleh sty lubang timnaskeren buat petrik tau bagaimana buat indonesia kalah denga taktiknya yg asalanwkwkwk,positif
breaking kemenangan atas laos membuat timnas malaysia kini melampaui poin timnas indonesia di rangking fifa rankings after match points after match rankings after match points after,positif
kualifikasi piala dunia zona asia timnas indonesia segera bangkit dan fokus melawan irak pada pukul wb dini hari indonrsia harus meraih kemenangan untuk menjaga peluang lolos langsung atau jalur playoff,positif
indonesia menang dan timnas harap cemas di match terakhir irak vs arab,positif
maarten paes jadi pahlawan di laga timnas indonesia vs arab saudi dengan penyelamatan keren dia bikin skor tetap bersaing meski kalah semangat terus paes bintang garuda yang selalu bikin bangga timnasindonesia maartenpaes garudabersatu,positif
di timnas indonesia dari pertandingan cuma peroleh kemenangan seri dan kekalahan termasuk vs saudi ga ada harapan mau menang lawan iraq,positif
kita hanya mendukung versi timnas indonesia yang kita suka ada benernya gweh suka timnas indo yang main total football jadi besok lawan irak harus menang pake total football sesuai yang dijanjikan itu yah gamau liat haramball,positif
pemain yang masih bagus di liga indonesia tapi sudah gak cocok main di timnas mau dilihat secara objektif beneran ga paham sama kriteria pilihan pk lebih parah lagi kalau ini hasil lobi buat buka lebih banyak kesempatan pemain liga super mohon berkaca liga kita kayak mana,positif
menlu belanda minta maaf kluivert gagal buat timnas menang lawan saudi bahkan menlu negara tetangga minta maaf ini malahan mentri indonesia rata rata mencemooh rakyat yg nge gaji mereka,positif
irak harus menang mohon maaf indonesia tidak layak menang kita harus jambak bulu mata patrick terus tendang ke belanda pelatih judi suruh ngurus timnas yg ada dia pasang buat hari pemecatan,positif
eksklusif nyobain naik taksi di jeddah arab saudi mobilnya bagusbagus berujung ngomongin soal laga timnas indonesia sama sopirnya bolacomid blclpt timnasindonesia,positif
kalau bagi sipaling fans timnas kayak kalian yang gak punya empati sosial sih ngomongnya gitu apalagi yang dikejar cuma menangnya saja bukan efek sosialnya se kalah apa hidup lu wak sampai lu salty sesama lu yg mau menghidupi sepakbola usia muda di indonesia dengan mandiri,positif
mengirim wasap ke para pemain timnas irak inilah yg membuat timnas indonesia berpeluang menang,positif
coach yang bagus sesuai standar sipaling fans timnas apa menyeluruh dimiliki oleh tiap desakelurahan di seluruh indonesia apa lapangan bagus sesuai standar sipaling fans timnas dimiliki oleh tiap desakelurahan di seluruh indonesia apa jadwal berlatih di ssbakademi di,positif
breaking news timnas malaysia salip ranking fifa timnas indonesia setelah menang atas laos di kualifikasi piala asia,positif
rakyat indonesia gapapa kalo dipaksa harus move on dari sty tapi mbok ya mikir kok penggantinya yang lebih baik dong secara permainan atau setara jahat bener mah pssi merusak salah satu kesenangan rakyat masihkesel kluivertout,positif
harapan timnas masuk piala dunia tipis bang indonesia ngarepin jadi runner up grup b nanti diadu dgn runnerup grup a dan pemenangnya mengikuti babak play off antar konfederasi wakil benua afrika bang berani berapa lawan afrika,positif
media amerika yakin peluang timnas indonesia masih terbuka menang lawan irak bukan mimpi,positif
melawan irak sih prediksiku timnas indonesia akan menang dgn selisih gol yakin,positif
secara statistik dalam tiga laga terakhir bertemu irak tim garuda memang menelan kekalahan akan tetapi harapan itu masih ada untuk timnas indonesia tembus ke piala dunia untuk terus dukung skuad garuda kamu juga bisa ikutan giveaway ig story add yours menangin hadiah,positif
statistik timnas indonesia di bawah asuhan coach patrick kluivert laga menang bahrain china china taipei imbang lebanon kalah australia jepang arab saudi gol kebobolan next match irak,positif
di baca baik kita tau usia diatas tahun itu ngeyelan dan egoisnya tingkat dewa tapi milik indonesia bukan milik kalian yg cari uang di timnas indonesia,positif
sty sepertinya hanya cocok menangani timnas semoga kembali menangani timnas indonesia,positif
siapa sangka niat baik seorang tokoh ternama indonesia justru berujung sengketa panjang akta tahun yang dibuat almarhum sjarnoebi said mantan ketua pssi sekaligus pemilik pt krama yudha kini menyeret menantu dan cucunya ke meja hijau pemberian sukarela yang,positif
pas coach shin masih jadi pelatih timnas indonesia kalo ada tebak skor gua selalu pegang indonesia menang bahkan pas lawan jepang gua nebak seri saking pedenya kemaren tebak skor bejibun gua malah pegang arab semua udah dilevel untrust ke timnas lagi sad,positif
breaking shin taeyong dipecat lagi bukan dari timnas indonesia tapi dari klub barunya di korea selatan ulsan hd fc pelatih tahun itu baru menangani ulsan sejak agustus usai berpisah dengan indonesia pada januari lalu tapi cuma butuh pertandingan bagi,positif
untuk perbaikan jangka panjang pssi harus serius meningkatkan kualitas liga domestik amp program pembinaan pemain muda secara fundamental investasi pada akar rumput sepak bola indonesia mutlak demi prestasi berkelanjutan,positif
coba cermati starting line up timnas indonesia di laga ini vs australia jepangamparab saudi semua berakhir dgn kekalahanampridho tdk ada dlm starting line up tersebutlini pertahanan timnas lbh bagus ketika justin hubner jay idzesamprizky ridho bermain dari menit awal timnasday,positif
kekalahan timnas indonesia dari arab saudi rupanya turut dikomentari oleh menteri luar negeri menlu belanda david van weel david van weel kemudian meminta maaf karena patrick kluivert gagal membantu timnas indonesia meraih kemenangan,positif
karena acuan timnas ya dari grassroot selama sepakbola usia muda di indonesia yang dominan digerakan masyarakat ekonomi menengah kebawah belum bisa mengadaptasi dengan baik main bek ya selama itu timnas main dengan bek kecuali lu gak senang dengan jebolan ssb main di timnas,positif
timnas jaman sty meskipun kalah kita masih bisa terima tp setelahnya kita kembali ke jaman timnas thn yg lalu meski menjengkelkan tetap ditonton semoga sepak bola indonesia kembali ke jaman dimana setiap pertandingan kalahmenang pelatihnya dielu elukan,positif
pelatih arab saudi herve renard menilai pertahanan timnas indonesia cukup rapuh namun dia kecewa karena green falcon tidak bisa lebih klinis untuk mengunci kemenangan lebih cepat timnasgas,positif
wajib menang timnas indonesia siap tancap gas lawan irak di laga penentuan,positif
secara matematis timnas indonesia masih punya harapan untuk lolos kuncinya adalah kemenangan atas timnas irak pada laga kedua atau pamungkas grup b kualifikasi piala dunia zona asia timnasgas,positif
patrick kluivert menjelaskan bahwa mereka sudah berusaha keras untuk bisa mendapatkan kemenangan namun skema ini tidak berjalan sesuai rencana dan arab saudi cukup nyaman setelah menang di area tengah timnasgas,positif
kemaren para pengamat bola yg pintar mmprediksi timnas akan petik point alias timnas menang hasilnya meleset semua bgmn dgn kans lawan iraq demi rasa nasionalisme kpd indonesia katakan yg baik dan yg positif,positif
sederhana tapi si pelatih gapaham malah merubah formasi terbaik dan coba coba di match penting dalam sejarah timnas indonesia shame on you patrick,positif
sejak menang lawan arab di gbk chance lolos langsung timnas indonesia itu langsung terbuka lagi loh ya lawan australia di sydney sty dah ketemu racikan pas buat meredam australia lawan bahrain china ahh gak sulit banget sekaligus penebus kesalahan,positif
pelatih patrick kluivert blunder terbaik yang dimiliki oleh timnas indonesia,positif
bal cipak afc qualifier via menang kalah itu biasa yang penting jangan ngebully ya gaes garudamendunia timnas timnasday timnasindonesiamandiri indonesia afcasianqualifiers,positif
