clean_text,label_prediksi
peringkat timnas indonesia di ranking fifa disalip malaysia timnasday timnas indonesia kluivertout pssi malaysia fifaranking fifa,positif
pemain timnas indonesia jalani latihan terpisah di arab saudi yang menit bermainnya minim berlatih di king abdullah sport city sementara pemain inti latihan ringan di hotel liputan eksklusif dari arab saudi hanya di blcbm blclpt timnasindonesia,negatif
timnas indonesia masih berjuang shin taeyong dipecat ulsan,negatif
timnas indonesia u tancap gas jelang laga uji coba lawan india bekal menuju sea games,positif
terima tawaran uji coba lawan timnas u indonesia pelatih timnas india akui punya agenda sendiri untuk timnya timnasgas selengkapnya,negatif
bangun dulu dasarnya baru bicara soal keindahan permainan tanpa pondasi total football hanya akan jadi mimpi indah yang mudah runtuh di tengah sorakan stadion sty kluivert pssi erickthohir timnasindonesia paes timnas indonesia,positif
yth bapak presiden mohon kiranya bapak memerintahkan ketum pssi untuk segera mengganti patrick kluivert dan meminta kembali shin taeyong untuk melatih demi merah putih demi indonesia lolos piala dunia terima kasih atas perhatian bapak,positif
patrick kluivert di laga terakhir timnas indonesia selalu pakai bek chinese taipei lebanon arab saudi padahal di round timnas selalu bermain dengan atau what the hell happened,positif
kalo iya mungkin itu kg bagian dr skenario utk lepas dr kursi pelatih tsb hatinya masih di indonesia jd dgn begitu ada mukjizat ia dapat kembali melatih timnas krn dia sudah paham dgn aka sepakbola indonesia,positif
energi sepak bolanya tertinggal di indonesia mungkin saja saat ini hatinya masih ada di timnas,negatif
suporter thailand menilai timnas indonesia era shin taeyong masih memiliki identitas sepak bola yang dipertahankan era shin taeyong terlihat lebih disiplin dibanding timnas era patrick kluivert timnasgas,negatif
bojan hodak berharap pemainnya bisa memanfaatkan peluang di timnas indonesia persib sendiri mengirim empat nama yakni marc klok beckham putra eliano reijnders dan thom haye timnasgas,positif
pelatihnya stay di belanda siapa yg bisa mantau pak jangan utusan lawan sowan bawa riyal container pak akui aja deh dosa terbesarmu sebagai ketua pssi adalah menghancurkan mimpi rakyat indonesia,positif
jangan meremehkan timnas indonesiasekarang udah beda mayoritas pakai pemain naturalisasiada harapan untuk juara di piala dunia,negatif
protes pssi soal wasit dari kuwait dilaporkan ditolak fifa dan afc baca selengkapnya fifa afc antaranewscom radiogemasonata indonesia,positif
pelatih timnas u indonesia indra sjafri mengungkapkan soal rencananya dalam memilih skuad untuk sea games timnasgas selengkapnya,negatif
itu timnas indonesia u vs laos senior,positif
kebantai terus pk dipecat lalu hari kemudian ada breaking news sty balik ke timnas indonesia,positif
patrick kluivert menjelaskan bahwa arab saudi cukup banyak diuntungkan di pertandingan ini salah satunya karena mereka bermain di depan suporter sendiri yang seharusnya ada di venue netral timnasgas,negatif
timnas indonesia masih punya jalan lolos ke piala dunia ini satu syaratnya,positif
dan jangan lupa saksikan selengkapnya cerita kopi jelang piala dunia ini pr timnas u indonesia hanya di youtube gelora tv pialadunia qatar garudamuda timnasindonesia timnasu ceritakopi geloratv partaigelora geloraindonesia,negatif
seperti apa analisis dari taufik yang juga adalah ketua bidang olahraga masyarakat dpp partai gelora indonesia ini kamu punya pendapat soal timnas u indonesia tulis di kolom komentar ya pialadunia qatar garudamuda timnasindonesia timnasu ceritakopi geloratv,negatif
timnas u indonesia akan segera tampil dalam piala dunia u di qatar pada november coach taufik jursal effendi menganalisis persiapan dan lineup timnas u termasuk celah yang masih menjadi pr bagi garuda muda ceritakopi geloratv,negatif
komentar pelatih timnas indonesia patrick kluivert soal kondisi cedera yang dialami calvin verdonk lekas pulih verdonk semoga bisa tampil untuk menghadapi irak nanti ya,positif
hubner mengungkapkan penyesalannya dan mengklaim sempat merasa emosional kini hubner ingin fokus terhadap laga hidup mati timnas indonesia kontra timnas irak timnasindonesia hubner bolacomid blcbm,positif
lu pikir timnas di gendong marceng eh system permainan sty berperan besar gua sih yakin dng system permainan indonesia semalem marceng juga gak bisa ngapangapain,positif
kata indra sjafri sampai saat ini belum ada pernyataan resmi dari tim geypens dan klubnya fc emmen sebelumnya media belanda menginformasikan bahwa tim geypens memutuskan menolak panggilan indra sjafri,negatif
itu urusan tim kepelatihan timnas saat ini jika dilihat dari perspektif mereka yang aktif di sepakbola usia muda di indonesia selama main bek peluang pemain baru untuk main di tim nasional terbuka lebar,positif
permintaan maaf dari menlu belanda untuk indonesia pertemuan resmi antara menlu ri sugiono dan menlu belanda david van weel di gedung pancasila jakarta kamis mendadak cair garagara sepak bola van weel mengaku ikut kecewa atas hasil laga timnas indonesia vs arab,positif
jadwal timnas indonesia selanjutnya akan hadapi irak di lanjutan ronde keempat kualifikasi piala dunia main minggu dini hari wib,negatif
fakta mengejutkan saat laga timnas indonesia vs arab saudi baca selengkapnya di sini timnasday timnasindonesia worldcupqualifiers worldcupqualifiers,negatif
setelah sty speak up ini sepertinya pssi sudah kehilangan percaya sama sty makanya di bulan desember lgsg buka loker,negatif
timnas indonesia masih berjuang sty dipecat ulsan dua dunia yang berbeda,negatif
tinggal di indonesia itu lumayan gregetan kemarin kita punya timnas indonesia yang sepak bolanya jago dalam hitungan bulan kembali lagi ke setelan awal hehe gimana ini pak,positif
seiring dengan rilis pemain dari persatuan bola voli seluruh indonesia pbvsi untuk pelatnas sea games satu nama mencuri perhatian adalah wilda siti nurfadhilah sugandi yang akan menjalani peran barunya sebagai asisten pelatih,positif
garuda mendunia original song tetaplah semangat untuk para punggawa skuad garuda timnas indonesia terkhusus buat yakob sayuri marc klokampbeckham putraperjuangan blm usai kembali fokus tuk laga melawan iraksemoga pelatih bljr dr kesalahan timnasday,negatif
kenapa timnas indonesia tampil kurang meyakinkan saat bertandang ke markas arab saudi kenapa starting line up yang dikeluarkan patrick kluivert jelang laga justru mengejutkan banyak pihak bahkan thom haye hanya menjadi cadangan meski akhirnya dimainkan rizky ridho dan justin,positif
peluang lolos ke piala dunia hampir buyar garagara eksperimen kluivert irak jadi harapan terakhir timnas indonesia,positif
video ini cukup untuk mengutarakan isi hati supporter timnas dari rasa sayang rasa cinta optimis gua gakenal pak hamdan entah dia ini beneran atau hanya akting tapi isi ungkapannya gua rasa itulah isi hati supporter timnas indonesia,positif
eksklusif pesan menyentuh shayne pattynama buat fans timnas indonesia ayo bersatu jangan saling menyalahkan bolacomid blclpt timnasindonesia shaynepattynama,positif
kalian pikir kalian segalanya hingga bisa mendangkalkan seluruh perjuangan dari ekosistem sepakbola usia muda di indonesia agar terpantau ke tim nasional beruntung pssi saat ini tidak se populis dan berorientasi ke orang egois amp gak ngotak kayak kalian,positif
justru tujuan dari perubahan kembali ke pakem bek untuk membukakan jalan bagi pesepakbola lokal di liga untuk dapat masuk timnas indonesia karena secara pakem jauh lebih familiar,positif
